Type of access,API,file path,Team owner
AsCurrentUser,search,search,x-pack/solutions/security/plugins/elastic_assistant/server/lib/data_stream/documents_data_writer.ts,elastic/security-generative-ai
AsCurrentUser,search,search,x-pack/solutions/security/plugins/elastic_assistant/server/ai_assistant_data_clients/find.ts,elastic/security-generative-ai
AsCurrentUser,search,search,x-pack/solutions/security/plugins/elastic_assistant/server/ai_assistant_data_clients/index.ts,elastic/security-generative-ai
AsCurrentUser,search,search,x-pack/solutions/security/plugins/elastic_assistant/server/ai_assistant_data_clients/knowledge_base/get_knowledge_base_entry.ts,elastic/security-generative-ai
AsCurrentUser,search,search,x-pack/solutions/security/plugins/elastic_assistant/server/ai_assistant_data_clients/knowledge_base/helpers.ts,elastic/security-generative-ai
AsCurrentUser,search,search,x-pack/solutions/security/plugins/elastic_assistant/server/ai_assistant_data_clients/knowledge_base/index.ts,elastic/security-generative-ai
AsCurrentUser,search,search,x-pack/solutions/security/plugins/elastic_assistant/server/lib/attack_discovery/persistence/find_all_attack_discoveries/find_all_attack_discoveries.ts,elastic/security-generative-ai
AsCurrentUser,msearch,msearch,x-pack/solutions/security/plugins/elastic_assistant/server/ai_assistant_data_clients/find.ts,elastic/security-generative-ai
AsCurrentUser,msearch,msearch,x-pack/solutions/security/plugins/elastic_assistant/server/lib/attack_discovery/persistence/get_attack_discovery_generations/index.ts,elastic/security-generative-ai
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/security/plugins/elastic_assistant/server/routes/knowledge_base/get_knowledge_base_indices.ts,elastic/security-generative-ai
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/security/plugins/elastic_assistant/server/routes/knowledge_base/get_knowledge_base_indices.test.ts,elastic/security-generative-ai
AsCurrentUser,Indices.resolveIndex,resolveIndex,x-pack/solutions/security/plugins/elastic_assistant/server/routes/evaluate/prepare_indices_for_evaluations/graph_type/assistant/index.ts,elastic/security-generative-ai
AsCurrentUser,search,search,x-pack/solutions/search/plugins/enterprise_search/server/lib/indices/fetch_index.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/solutions/search/plugins/enterprise_search/server/lib/indices/generate_api_key.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/solutions/search/plugins/enterprise_search/server/lib/indices/pipelines/ml_inference/get_ml_inference_errors.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/solutions/search/plugins/enterprise_search/server/lib/indices/pipelines/ml_inference/get_ml_inference_pipeline_history.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/solutions/search/plugins/enterprise_search/server/routes/enterprise_search/search_applications.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/solutions/search/plugins/enterprise_search/server/lib/stats/get_sync_jobs.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/solutions/search/plugins/enterprise_search/server/lib/fetch_all.ts,elastic/search-kibana
